S/N,Date,Branch,Pizza Type,Quantity,Time,Time Range,Price
230,10-12-2015,Nevada,Chicken Legend,3,08:07:05,Before 9:00am,8.00
231,06-12-2015,California,BBQ Chicken,3,08:07:07,Before 9:00am,16.00
232,05-12-2015,Oregon,Hot Veggie,1,08:07:07,Before 9:00am,16.00
233,06-12-2015,Arizona,Hot Veggie,3,08:07:16,Before 9:00am,16.00
234,06-12-2015,Oregon,Chicken Suya,1,08:07:16,Before 9:00am,16.00
235,04-12-2015,Idaho,Pepperoni Feast,3,08:07:21,Before 9:00am,16.00
236,13-12-2015,Nevada,Hot Pepperoni Feast,3,08:07:21,Before 9:00am,16.00
237,08-12-2015,Arizona,Extravaganza,4,08:07:22,Before 9:00am,8.00
238,09-12-2015,Nevada,Meatzaa,1,08:07:23,Before 9:00am,8.00
239,06-12-2015,Arizona,Veggie Supreme,4,08:07:23,Before 9:00am,12.00
240,15-12-2015,California,Hot Pepperoni Feast,4,08:07:25,Before 9:00am,16.00
241,12-12-2015,Nevada,Extravaganza,1,08:07:26,Before 9:00am,8.00
242,08-12-2015,Nevada,BBQ Chicken,5,08:07:28,Before 9:00am,16.00
243,05-12-2015,Arizona,Extravaganza,3,08:07:30,Before 9:00am,8.00
244,09-12-2015,Arizona,Meatzaa,1,08:07:42,Before 9:00am,8.00
245,03-12-2015,Idaho,Hot Pepperoni Feast,3,08:07:42,Before 9:00am,16.00
246,09-12-2015,Oregon,Beef Suya,5,08:07:43,Before 9:00am,12.00
247,10-12-2015,Idaho,Margarita,3,08:07:46,Before 9:00am,16.00
248,07-12-2015,Arizona,Hot Pepperoni Feast,1,08:07:49,Before 9:00am,16.00
249,08-12-2015,Nevada,Chicken Bali,4,08:07:49,Before 9:00am,8.00
250,07-12-2015,Nevada,Meatzaa,2,08:07:50,Before 9:00am,8.00
251,08-12-2015,Nevada,BBQ Philly Steak,2,08:07:50,Before 9:00am,16.00
252,05-12-2015,Oregon,Pepperoni Feast,2,08:07:56,Before 9:00am,16.00
253,11-12-2015,Arizona,Chicken Feast,5,08:07:56,Before 9:00am,8.00
254,03-12-2015,California,Veggie Supreme,5,08:07:59,Before 9:00am,12.00
255,04-12-2015,Nevada,Pepperoni Feast,4,08:08:01,Before 9:00am,16.00
256,05-12-2015,Oregon,Extravaganza,1,08:08:03,Before 9:00am,8.00
257,07-12-2015,Oregon,Chicken Bali,5,08:08:04,Before 9:00am,8.00
258,13-12-2015,Oregon,Meatzaa,3,08:08:04,Before 9:00am,8.00
259,04-12-2015,California,Pepperoni Feast,4,08:08:11,Before 9:00am,16.00
260,14-12-2015,California,Veggie Supreme,1,08:08:12,Before 9:00am,12.00
261,09-12-2015,Arizona,Hot Veggie,1,08:08:17,Before 9:00am,16.00
262,06-12-2015,Arizona,Italiano,4,08:08:25,Before 9:00am,12.00
263,05-12-2015,Oregon,Italiano,3,08:08:25,Before 9:00am,12.00
264,15-12-2015,Arizona,Chicken Legend,3,08:08:27,Before 9:00am,8.00
265,15-12-2015,Oregon,Meatzaa,4,08:08:29,Before 9:00am,8.00
266,14-12-2015,Nevada,BBQ Chicken,1,08:08:31,Before 9:00am,16.00
267,07-12-2015,Nevada,BBQ Philly Steak,1,08:08:32,Before 9:00am,16.00
268,06-12-2015,Idaho,Chicken Suya,2,08:08:33,Before 9:00am,16.00
269,04-12-2015,Idaho,Veggie Supreme,4,08:08:34,Before 9:00am,12.00
270,08-12-2015,Oregon,Chicken Bali,1,08:08:35,Before 9:00am,8.00
271,09-12-2015,Nevada,Chicken Suya,4,08:08:39,Before 9:00am,16.00
272,06-12-2015,Idaho,Chicken Legend,5,08:08:40,Before 9:00am,8.00
273,09-12-2015,Oregon,Pepperoni Suya,2,08:08:40,Before 9:00am,12.00
274,05-12-2015,California,Hot Veggie,2,08:08:42,Before 9:00am,16.00
275,13-12-2015,Idaho,BBQ Chicken,5,08:08:45,Before 9:00am,16.00
276,05-12-2015,California,BBQ Chicken,3,08:08:45,Before 9:00am,16.00
277,13-12-2015,Nevada,Meatzaa,1,08:08:45,Before 9:00am,8.00
278,12-12-2015,California,Chicken Feast,2,08:08:47,Before 9:00am,8.00
279,14-12-2015,Nevada,Beef Suya,5,08:08:50,Before 9:00am,12.00
280,04-12-2015,Idaho,Hot Veggie,2,08:08:53,Before 9:00am,16.00
281,13-12-2015,Oregon,Extravaganza,5,08:08:53,Before 9:00am,8.00
282,12-12-2015,California,Pepperoni Feast,4,08:08:57,Before 9:00am,16.00
283,07-12-2015,California,Pepperoni Suya,2,08:09:00,Before 9:00am,12.00
284,15-12-2015,Arizona,Pepperoni Feast,1,08:09:00,Before 9:00am,16.00
285,05-12-2015,Idaho,Veggie Supreme,2,08:09:01,Before 9:00am,12.00
286,03-12-2015,Arizona,Chicken Suya,3,08:09:02,Before 9:00am,16.00
287,05-12-2015,Nevada,Hot Pepperoni Feast,3,08:09:02,Before 9:00am,16.00
288,11-12-2015,Arizona,Chicken Suya,4,08:09:03,Before 9:00am,16.00
289,06-12-2015,Nevada,Italiano,4,08:09:05,Before 9:00am,12.00
290,06-12-2015,Oregon,Hot Veggie,2,08:09:05,Before 9:00am,16.00
291,12-12-2015,Nevada,Chicken Legend,5,08:09:08,Before 9:00am,8.00
292,04-12-2015,Nevada,Extravaganza,3,08:09:08,Before 9:00am,8.00
293,09-12-2015,California,Pepperoni Suya,1,08:09:10,Before 9:00am,12.00
294,05-12-2015,Arizona,Chicken Legend,5,08:09:11,Before 9:00am,8.00
295,11-12-2015,Oregon,Beef Suya,4,08:09:11,Before 9:00am,12.00
296,06-12-2015,California,Meatzaa,3,08:09:16,Before 9:00am,8.00
297,12-12-2015,Oregon,Chicken Bali,1,08:09:20,Before 9:00am,8.00
298,03-12-2015,Idaho,Margarita,4,08:09:23,Before 9:00am,16.00
299,10-12-2015,California,Pepperoni Suya,3,08:09:28,Before 9:00am,12.00
300,11-12-2015,Oregon,Meatzaa,3,08:09:28,Before 9:00am,8.00
301,13-12-2015,Oregon,Veggie Supreme,5,08:09:29,Before 9:00am,12.00
302,12-12-2015,Idaho,Hot Veggie,1,08:09:33,Before 9:00am,16.00
303,07-12-2015,Idaho,Margarita,4,08:09:33,Before 9:00am,16.00
304,06-12-2015,California,Chicken Legend,3,08:09:37,Before 9:00am,8.00
305,04-12-2015,Arizona,Italiano,2,08:09:39,Before 9:00am,12.00
306,08-12-2015,Idaho,BBQ Philly Steak,5,08:09:39,Before 9:00am,16.00
307,15-12-2015,Idaho,Beef Suya,2,08:09:41,Before 9:00am,12.00
308,15-12-2015,Oregon,BBQ Philly Steak,2,08:09:45,Before 9:00am,16.00
309,11-12-2015,Idaho,Beef Suya,2,08:09:46,Before 9:00am,12.00
310,06-12-2015,Nevada,BBQ Philly Steak,5,08:09:47,Before 9:00am,16.00
311,09-12-2015,Arizona,Italiano,5,08:09:47,Before 9:00am,12.00
312,03-12-2015,Arizona,Veggie Supreme,1,08:09:47,Before 9:00am,12.00
313,10-12-2015,Idaho,Hot Veggie,3,08:09:49,Before 9:00am,16.00
314,05-12-2015,Nevada,Pepperoni Feast,2,08:09:54,Before 9:00am,16.00
315,14-12-2015,Arizona,Hot Veggie,4,08:09:55,Before 9:00am,16.00
316,08-12-2015,Arizona,BBQ Chicken,3,08:09:55,Before 9:00am,16.00
317,05-12-2015,Oregon,Hot Pepperoni Feast,5,08:09:59,Before 9:00am,16.00
318,04-12-2015,Nevada,Margarita,5,08:10:00,Before 9:00am,16.00
319,15-12-2015,Idaho,Chicken Feast,5,08:10:08,Before 9:00am,8.00
320,07-12-2015,Idaho,BBQ Chicken,4,08:10:08,Before 9:00am,16.00
321,04-12-2015,Arizona,Pepperoni Suya,5,08:10:10,Before 9:00am,12.00
322,04-12-2015,Oregon,Chicken Feast,5,08:10:11,Before 9:00am,8.00
323,05-12-2015,Idaho,Hot Pepperoni Feast,1,08:10:12,Before 9:00am,16.00
324,03-12-2015,Nevada,Pepperoni Feast,1,08:10:14,Before 9:00am,16.00
325,05-12-2015,Nevada,Chicken Legend,1,08:10:15,Before 9:00am,8.00
326,08-12-2015,Oregon,Beef Suya,5,08:10:18,Before 9:00am,12.00
327,05-12-2015,Idaho,Chicken Bali,2,08:10:18,Before 9:00am,8.00
328,07-12-2015,Oregon,Chicken Bali,3,08:10:18,Before 9:00am,8.00
329,08-12-2015,Oregon,Pepperoni Suya,5,08:10:22,Before 9:00am,12.00
330,05-12-2015,Oregon,Chicken Legend,5,08:10:25,Before 9:00am,8.00
331,04-12-2015,California,Hot Pepperoni Feast,5,08:10:26,Before 9:00am,16.00
